data,comarcacodi,comarcadescripcio,municipicodi,municipidescripcio,districtedescripcio,sexecodi,sexedescripcio,resultatcoviddescripcio,numcasos,:id,districtecodi
2020-11-16T00:00:00.000,11.0,BAIX LLOBREGAT,8301.0,VILADECANS,No classificat,0.0,Home,PCR probable,1,row-gpa2_qyv4.9vz8,
2020-07-28T00:00:00.000,7.0,BAGES,8218.0,SANT JOAN DE VILATORRADA,No classificat,1.0,Dona,Positiu per Test Ràpid,11,row-dxyr~jnm9.2rci,
2020-11-05T00:00:00.000,11.0,BAIX LLOBREGAT,8208.0,SANT ESTEVE SESROVIRES,No classificat,1.0,Dona,Positiu per Test Ràpid,1,row-8ywq.x7qc.mci8,
2020-11-04T00:00:00.000,13.0,BARCELONES,8194.0,SANT ADRIÀ DE BESÒS,No classificat,0.0,Home,PCR probable,1,row-xsi2-pvu2-5cet,
2020-07-14T00:00:00.000,13.0,BARCELONES,8019.0,BARCELONA,HORTA-GUINARDÓ,1.0,Dona,Positiu per ELISA,2,row-erku_hyj3~gh54,7.0
2020-04-01T00:00:00.000,13.0,BARCELONES,8245.0,SANTA COLOMA DE GRAMENET,No classificat,0.0,Home,Epidemiològic,14,row-ct55~d86g-yy4j,
2020-04-17T00:00:00.000,13.0,BARCELONES,8019.0,BARCELONA,SANT MARTÍ,1.0,Dona,Positiu per Test Ràpid,6,row-vm2g_8tcx-nmtq,10.0
2020-05-14T00:00:00.000,21.0,MARESME,8155.0,PALAFOLLS,No classificat,0.0,Home,Positiu per Test Ràpid,1,row-cbvf_tq2i~st3y,
2021-01-24T00:00:00.000,21.0,MARESME,8006.0,ARENYS DE MAR,No classificat,0.0,Home,PCR probable,1,row-3nhj~wxhb~2bhr,
2020-11-02T00:00:00.000,10.0,BAIX EMPORDA,17117.0,PALAFRUGELL,No classificat,1.0,Dona,PCR probable,1,row-jc2v~g3i2-5f5m,
2020-07-10T00:00:00.000,13.0,BARCELONES,8019.0,BARCELONA,SANTS-MONTJUÏC,1.0,Dona,Positiu per Test Ràpid,38,row-drfj_zb53~8g47,3.0
2020-07-10T00:00:00.000,11.0,BAIX LLOBREGAT,8073.0,CORNELLÀ DE LLOBREGAT,No classificat,1.0,Dona,Positiu per Test Ràpid,6,row-ysts_48zi-bdgu,
2020-07-10T00:00:00.000,13.0,BARCELONES,8019.0,BARCELONA,GRÀCIA,0.0,Home,Positiu per Test Ràpid,3,row-pdnn.thpp~vqie,6.0
2020-07-10T00:00:00.000,11.0,BAIX LLOBREGAT,8169.0,EL PRAT DE LLOBREGAT,No classificat,1.0,Dona,Positiu per Test Ràpid,1,row-ttgz-tpu4.nycc,
2020-07-09T00:00:00.000,13.0,BARCELONES,8019.0,BARCELONA,CIUTAT VELLA,1.0,Dona,Positiu per Test Ràpid,2,row-73hf_qkv5.knf6,1.0
2020-08-12T00:00:00.000,11.0,BAIX LLOBREGAT,8056.0,CASTELLDEFELS,No classificat,1.0,Dona,Positiu per ELISA,1,row-hmyu.thaw-vsfc,
2020-04-27T00:00:00.000,2.0,ALT EMPORDA,17066.0,FIGUERES,No classificat,0.0,Home,Positiu per Test Ràpid,1,row-is8k.eypt_ntwv,
2020-11-05T00:00:00.000,41.0,VALLES ORIENTAL,8202.0,SANT CELONI,No classificat,1.0,Dona,PCR probable,1,row-w9ab~yguv.mkyr,
2020-12-17T00:00:00.000,13.0,BARCELONES,8101.0,L'HOSPITALET DE LLOBREGAT,No classificat,0.0,Home,PCR probable,3,row-dkk7_kvak.agcn,
2020-09-03T00:00:00.000,40.0,VALLES OCCIDENTAL,8156.0,PALAU-SOLITÀ I PLEGAMANS,No classificat,0.0,Home,Epidemiològic,1,row-b4ie~wify~4q8t,
