data,comarcacodi,comarcadescripcio,municipicodi,municipidescripcio,districtecodi,districtedescripcio,sexecodi,sexedescripcio,resultatcoviddescripcio,numcasos,:id
2020-07-23T00:00:00.000,13.0,BARCELONES,8019.0,BARCELONA,9.0,SANT ANDREU,0.0,Home,Positiu per Test Ràpid,5,row-ijd9_utji_amzn
2020-07-23T00:00:00.000,11.0,BAIX LLOBREGAT,8217.0,SANT JOAN DESPÍ,,No classificat,0.0,Home,Positiu per Test Ràpid,2,row-rm4s_pn9z-bzps
2020-11-12T00:00:00.000,13.0,BARCELONES,8019.0,BARCELONA,8.0,NOU BARRIS,1.0,Dona,Positiu per ELISA,1,row-dbvc.7vwb.5z2j
2020-07-23T00:00:00.000,13.0,BARCELONES,8015.0,BADALONA,,No classificat,1.0,Dona,Positiu per Test Ràpid,2,row-ijie.agx5-8unv
2020-07-29T00:00:00.000,20.0,GIRONES,17079.0,GIRONA,,No classificat,0.0,Home,Positiu per Test Ràpid,2,row-n24v~tvxb.7p3k
2020-05-04T00:00:00.000,7.0,BAGES,8113.0,MANRESA,,No classificat,0.0,Home,Positiu per ELISA,1,row-33vy_mc32_4b6p
2020-11-20T00:00:00.000,13.0,BARCELONES,8019.0,BARCELONA,3.0,SANTS-MONTJUÏC,1.0,Dona,Positiu per Test Ràpid,1,row-fmcw-n4hp-392f
2020-05-06T00:00:00.000,13.0,BARCELONES,8015.0,BADALONA,,No classificat,1.0,Dona,Positiu per ELISA,6,row-hd39~77mk_nmm3
2020-05-27T00:00:00.000,13.0,BARCELONES,8015.0,BADALONA,,No classificat,1.0,Dona,Positiu per Test Ràpid,3,row-wzvf_jz9a~qpid
2020-03-26T00:00:00.000,15.0,CERDANYA,17141.0,PUIGCERDÀ,,No classificat,1.0,Dona,PCR probable,2,row-72be_eg8e~tynn
2020-05-06T00:00:00.000,40.0,VALLES OCCIDENTAL,8279.0,TERRASSA,,No classificat,0.0,Home,Positiu per Test Ràpid,1,row-riqh.jjnz.qqs7
2020-06-05T00:00:00.000,13.0,BARCELONES,8101.0,L'HOSPITALET DE LLOBREGAT,,No classificat,1.0,Dona,Positiu per ELISA,3,row-7xge~4d73~6ebu
2020-11-16T00:00:00.000,11.0,BAIX LLOBREGAT,8301.0,VILADECANS,,No classificat,0.0,Home,PCR probable,1,row-gpa2_qyv4.9vz8
2020-07-28T00:00:00.000,7.0,BAGES,8218.0,SANT JOAN DE VILATORRADA,,No classificat,1.0,Dona,Positiu per Test Ràpid,11,row-dxyr~jnm9.2rci
2020-11-05T00:00:00.000,11.0,BAIX LLOBREGAT,8208.0,SANT ESTEVE SESROVIRES,,No classificat,1.0,Dona,Positiu per Test Ràpid,1,row-8ywq.x7qc.mci8
2020-11-04T00:00:00.000,13.0,BARCELONES,8194.0,SANT ADRIÀ DE BESÒS,,No classificat,0.0,Home,PCR probable,1,row-xsi2-pvu2-5cet
2020-07-14T00:00:00.000,13.0,BARCELONES,8019.0,BARCELONA,7.0,HORTA-GUINARDÓ,1.0,Dona,Positiu per ELISA,2,row-erku_hyj3~gh54
2020-04-01T00:00:00.000,13.0,BARCELONES,8245.0,SANTA COLOMA DE GRAMENET,,No classificat,0.0,Home,Epidemiològic,14,row-ct55~d86g-yy4j
2020-04-17T00:00:00.000,13.0,BARCELONES,8019.0,BARCELONA,10.0,SANT MARTÍ,1.0,Dona,Positiu per Test Ràpid,6,row-vm2g_8tcx-nmtq
2020-05-14T00:00:00.000,21.0,MARESME,8155.0,PALAFOLLS,,No classificat,0.0,Home,Positiu per Test Ràpid,1,row-cbvf_tq2i~st3y
2021-01-24T00:00:00.000,21.0,MARESME,8006.0,ARENYS DE MAR,,No classificat,0.0,Home,PCR probable,1,row-3nhj~wxhb~2bhr
